State,State Code,District,Party,Candidate,Incumbent,Votes,Pct%
California,CA,21st,Democratic,Costa* ,Incumbent,"68,074",54.2%
California,CA,21st,Republican,Maher ,/,"57,573",45.8%
California,CA,22nd,Republican,Valadao* ,Incumbent,"52,993",51.5%
California,CA,22nd,Democratic,Salas ,/,"49,859",48.5%
California,CA,23rd,Republican,Obernolte* ,Incumbent,"103,197",61.0%
California,CA,23rd,Democratic,Marshall ,/,"65,908",39.0%
California,CA,24th,Democratic,Carbajal* ,Incumbent,"159,019",60.6%
California,CA,24th,Republican,Allen ,/,"103,533",39.4%
California,CA,25th,Democratic,Ruiz* ,Incumbent,"87,641",57.4%
California,CA,25th,Republican,Hawkins ,/,"65,101",42.6%
California,CA,26th,Democratic,Brownley* ,Incumbent,"134,575",54.5%
California,CA,26th,Republican,Jacobs ,/,"112,214",45.5%
California,CA,27th,Republican,Garcia* ,Incumbent,"104,624",53.2%
California,CA,27th,Democratic,Smith ,/,"91,892",46.8%
California,CA,28th,Democratic,Chu* ,Incumbent,"150,062",66.2%
California,CA,28th,Republican,Hallman ,/,"76,495",33.8%
California,CA,29th,Democratic,Cardenas* ,Incumbent,"69,915",58.5%
California,CA,29th,Democratic,Duenas ,/,"49,520",41.5%
California,CA,30th,Democratic,Schiff* ,Incumbent,"150,100",71.1%
California,CA,30th,Democratic,Pudlo ,/,"60,968",28.9%
California,CA,31st,Democratic,Napolitano* ,Incumbent,"91,472",59.5%
California,CA,31st,Republican,Martinez ,/,"62,153",40.5%
California,CA,32nd,Democratic,Sherman* ,Incumbent,"167,411",69.2%
California,CA,32nd,Republican,Volotzky ,/,"74,618",30.8%
California,CA,33rd,Democratic,Aguilar* ,Incumbent,"76,588",57.7%
California,CA,33rd,Republican,Porter ,/,"56,119",42.3%
California,CA,34th,Democratic,Gomez* ,Incumbent,"62,244",51.2%
California,CA,34th,Democratic,Kim ,/,"59,223",48.8%
California,CA,35th,Democratic,Torres* ,Incumbent,"75,121",57.4%
California,CA,35th,Republican,Cargile ,/,"55,832",42.6%
California,CA,36th,Democratic,Lieu* ,Incumbent,"194,299",69.8%
California,CA,36th,Republican,Collins ,/,"84,264",30.2%
California,CA,37th,Democratic,Kamlager ,/,"84,338",64.0%
California,CA,37th,Democratic,Perry ,/,"47,542",36.0%
California,CA,38th,Democratic,Sanchez* ,Incumbent,"101,260",58.1%
California,CA,38th,Republican,Ching ,/,"73,051",41.9%
California,CA,39th,Democratic,Takano* ,Incumbent,"75,896",57.7%
California,CA,39th,Republican,Smith ,/,"55,701",42.3%
California,CA,40th,Republican,Kim* ,Incumbent,"161,589",56.8%
California,CA,40th,Democratic,Mahmood ,/,"122,722",43.2%
California,CA,41st,Republican,Calvert* ,Incumbent,"123,869",52.3%
California,CA,41st,Democratic,Rollins ,/,"112,769",47.7%
California,CA,42nd,Democratic,Garcia ,/,"99,217",68.4%
California,CA,42nd,Republican,Briscoe ,/,"45,903",31.6%
California,CA,43rd,Democratic,Waters* ,Incumbent,"95,462",77.3%
California,CA,43rd,Republican,Navarro ,/,"27,985",22.7%
California,CA,44th,Democratic,Barragan* ,Incumbent,"100,160",72.2%
California,CA,44th,Republican,Jones ,/,"38,554",27.8%
California,CA,45th,Republican,Steel* ,Incumbent,"113,960",52.4%
California,CA,45th,Democratic,Chen ,/,"103,466",47.6%
California,CA,46th,Democratic,Correa* ,Incumbent,"78,041",61.8%
California,CA,46th,Republican,Gonzales ,/,"48,257",38.2%
California,CA,47th,Democratic,Porter* ,Incumbent,"137,374",51.7%
California,CA,47th,Republican,Baugh ,/,"128,261",48.3%
California,CA,48th,Republican,Issa* ,Incumbent,"155,171",60.4%
California,CA,48th,Democratic,Houlahan ,/,"101,900",39.6%
California,CA,49th,Democratic,Levin* ,Incumbent,"153,541",52.6%
California,CA,49th,Republican,Maryott ,/,"138,194",47.4%
California,CA,50th,Democratic,Peters* ,Incumbent,"168,816",62.8%
California,CA,50th,Republican,Gustafson ,/,"99,819",37.2%
California,CA,51st,Democratic,Jacobs* ,Incumbent,"144,186",61.9%
California,CA,51st,Republican,Caplan ,/,"88,886",38.1%
California,CA,52nd,Democratic,Vargas* ,Incumbent,"100,686",66.7%
California,CA,52nd,Republican,Geffeney ,/,"50,330",33.3%
Colorado,CO,1st,Democratic,DeGette* ,Incumbent,"226,929",80.3%
Colorado,CO,1st,Republican,Qualteri ,/,"49,530",17.5%
Colorado,CO,1st,Libertarian Party,Kittleson ,/,"6,157",2.2%
Colorado,CO,2nd,Democratic,Neguse* ,Incumbent,"244,107",70.0%
Colorado,CO,2nd,Republican,Dawson ,/,"97,700",28.0%
Colorado,CO,2nd,  ,Yurash ,/,"2,876",0.8%
Colorado,CO,2nd,  ,Nation ,/,"2,188",0.6%
Colorado,CO,2nd,  ,Wolf ,/,"1,968",0.6%
Colorado,CO,3rd,Republican,Boebert* ,Incumbent,"163,839",50.1%
Colorado,CO,3rd,Democratic,Frisch ,/,"163,293",49.9%
Colorado,CO,4th,Republican,Buck* ,Incumbent,"216,024",60.9%
Colorado,CO,4th,Democratic,McCorkle ,/,"129,619",36.6%
Colorado,CO,4th,  ,McGonigal ,/,"8,870",2.5%
Colorado,CO,5th,Republican,Lamborn* ,Incumbent,"155,528",56.0%
Colorado,CO,5th,Democratic,Torres ,/,"111,978",40.3%
Colorado,CO,5th,Libertarian Party,Flanagan ,/,"7,079",2.5%
Colorado,CO,5th,  ,Mitchell ,/,"3,370",1.2%
Colorado,CO,6th,Democratic,Crow* ,Incumbent,"170,140",60.6%
Colorado,CO,6th,Republican,Monahan ,/,"105,084",37.4%
Colorado,CO,6th,Libertarian Party,Mulder ,/,"5,531",2.0%
Colorado,CO,7th,Democratic,Pettersen ,/,"204,984",56.4%
Colorado,CO,7th,Republican,Aadland ,/,"150,510",41.4%
Colorado,CO,7th,Libertarian Party,Klopf ,/,"6,187",1.7%
Colorado,CO,7th,  ,Milton ,/,"1,828",0.5%
Colorado,CO,8th,Democratic,Caraveo ,/,"114,377",48.4%
Colorado,CO,8th,Republican,Kirkmeyer ,/,"112,745",47.7%
Colorado,CO,8th,Libertarian Party,Ward ,/,"9,280",3.9%
Connecticut,CT,1st,Democratic,Larson* ,Incumbent,"150,355",61.4%
Connecticut,CT,1st,Republican,Lazor ,/,"91,536",37.4%
Connecticut,CT,1st,Green Party,Sanders ,/,"2,848",1.2%
Connecticut,CT,2nd,Democratic,Courtney* ,Incumbent,"165,947",58.2%
Connecticut,CT,2nd,Republican,France ,/,"114,504",40.2%
Connecticut,CT,2nd,Green Party,Blacker ,/,"2,437",0.9%
Connecticut,CT,2nd,Libertarian Party,Hall ,/,"2,140",0.8%
Connecticut,CT,3rd,Democratic,DeLauro* ,Incumbent,"137,924",56.8%
Connecticut,CT,3rd,Republican,DeNardis ,/,"98,704",40.7%
Connecticut,CT,3rd,Ind.,Chai ,/,"4,056",1.7%
Connecticut,CT,3rd,Green Party,Paglino ,/,"1,967",0.8%
Connecticut,CT,4th,Democratic,Himes* ,Incumbent,"140,246",59.5%
Connecticut,CT,4th,Republican,Stevenson ,/,"95,518",40.5%
Connecticut,CT,5th,Democratic,Hayes* ,Incumbent,"127,795",50.4%
Connecticut,CT,5th,Republican,Logan ,/,"125,834",49.6%
Delaware,DE, Delaware’s At-large district,Democratic,Lisa Rochester* ,Incumbent,"178,416",55.5%
Delaware,DE, Delaware’s At-large district,Republican,Lee Murphy ,/,"138,201",43.0%
Delaware,DE, Delaware’s At-large district,Libertarian Party,Cody McNutt ,/,"3,074",1.0%
Delaware,DE, Delaware’s At-large district,  ,David Rogers ,/,"1,958",0.6%
Florida,FL,1st,Republican,Gaetz* ,Incumbent,"197,320",67.9%
Florida,FL,1st,Democratic,Jones ,/,"93,416",32.1%
Florida,FL,2nd,Republican,Dunn* ,Incumbent,"180,218",59.8%
Florida,FL,2nd,Democratic,Lawson* ,Incumbent,"121,120",40.2%
Florida,FL,3rd,Republican,Cammack* ,Incumbent,"178,090",62.5%
Florida,FL,3rd,Democratic,Hawk ,/,"103,342",36.3%
Florida,FL,3rd,  ,Brooks ,/,"3,410",1.2%
Florida,FL,4th,Republican,Bean ,/,"165,678",60.5%
Florida,FL,4th,Democratic,Holloway ,/,"108,358",39.5%
Florida,FL,5th,Republican,Rutherford* ,Incumbent,,Uncontested
Florida,FL,6th,Republican,Waltz* ,Incumbent,"226,490",75.3%
Florida,FL,6th,Libertarian Party,Hannoush ,/,"74,173",24.7%
Florida,FL,7th,Republican,Mills ,/,"177,957",58.5%
Florida,FL,7th,Democratic,Green ,/,"126,052",41.5%
Florida,FL,8th,Republican,Posey* ,Incumbent,"222,119",64.9%
Florida,FL,8th,Democratic,Terry ,/,"120,050",35.1%
Florida,FL,9th,Democratic,Soto* ,Incumbent,"108,522",53.6%
Florida,FL,9th,Republican,Moore ,/,"93,815",46.4%
Florida,FL,10th,Democratic,Frost ,/,"117,929",59.0%
Florida,FL,10th,Republican,Wimbish ,/,"78,838",39.4%
Florida,FL,10th,  ,Holic ,/,"2,001",1.0%
Florida,FL,10th,  ,Jain ,/,"1,110",0.6%
Florida,FL,11th,Republican,Webster* ,Incumbent,"205,989",63.1%
Florida,FL,11th,Democratic,Munns ,/,"115,629",35.4%
Florida,FL,11th,  ,Porter ,/,"4,967",1.5%
Florida,FL,12th,Republican,Bilirakis* ,Incumbent,"226,579",70.4%
Florida,FL,12th,Democratic,Walker ,/,"95,368",29.6%
Florida,FL,13th,Republican,Luna ,/,"181,473",53.1%
Florida,FL,13th,Democratic,Lynn ,/,"153,839",45.1%
Florida,FL,13th,Libertarian Party,Craft ,/,"6,158",1.8%
Florida,FL,14th,Democratic,Castor* ,Incumbent,"149,689",56.9%
Florida,FL,14th,Republican,Judge ,/,"113,408",43.1%
Florida,FL,15th,Republican,Lee ,/,"145,211",58.5%
Florida,FL,15th,Democratic,Cohn ,/,"102,816",41.5%
Florida,FL,16th,Republican,Buchanan* ,Incumbent,"189,738",62.2%
Florida,FL,16th,Democratic,Schneider ,/,"115,537",37.8%
Florida,FL,17th,Republican,Steube* ,Incumbent,"222,433",63.8%
Florida,FL,17th,Democratic,Kale ,/,"123,739",35.5%
Florida,FL,17th,  ,Murray ,/,"2,222",0.6%
Florida,FL,18th,Republican,Franklin* ,Incumbent,"167,393",74.7%
Florida,FL,18th,  ,Hayden ,/,"56,622",25.3%
Florida,FL,19th,Republican,Donalds* ,Incumbent,"213,032",68.0%
Florida,FL,19th,Democratic,Banyai ,/,"100,198",32.0%
Florida,FL,20th,Democratic,Cherfilus-McCormick* ,Incumbent,"136,192",72.3%
Florida,FL,20th,Republican,Clark ,/,"52,150",27.7%
Florida,FL,21st,Republican,Mast* ,Incumbent,"208,592",63.5%
Florida,FL,21st,Democratic,Balderramos Robinson ,/,"119,859",36.5%
Florida,FL,22nd,Democratic,Frankel* ,Incumbent,"149,977",55.1%
Florida,FL,22nd,Republican,Franzese ,/,"122,187",44.9%
Florida,FL,23rd,Democratic,Moskowitz ,/,"143,897",51.6%
Florida,FL,23rd,Republican,Budd ,/,"130,669",46.8%
Florida,FL,23rd,  ,Scott ,/,"3,079",1.1%
Florida,FL,23rd,  ,Napier ,/,"1,338",0.5%
Florida,FL,24th,Democratic,Wilson* ,Incumbent,"133,416",71.8%
Florida,FL,24th,Republican,Navarro ,/,"52,442",28.2%
Florida,FL,25th,Democratic,Wasserman Schultz* ,Incumbent,"129,085",55.1%
Florida,FL,25th,Republican,Spalding ,/,"105,227",44.9%
Florida,FL,26th,Republican,Diaz-Balart* ,Incumbent,"143,226",70.9%
Florida,FL,26th,Democratic,Olivo ,/,"58,838",29.1%
Florida,FL,27th,Republican,Salazar* ,Incumbent,"136,031",57.3%
Florida,FL,27th,Democratic,Taddeo ,/,"101,370",42.7%
Florida,FL,28th,Republican,Gimenez* ,Incumbent,"134,456",63.7%
Florida,FL,28th,Democratic,Asencio ,/,"76,647",36.3%
Georgia,GA,1st,Republican,Carter* ,Incumbent,"156,016",59.2%
Georgia,GA,1st,Democratic,Herring ,/,"107,662",40.8%
Georgia,GA,2nd,Democratic,Bishop* ,Incumbent,"132,501",55.0%
Georgia,GA,2nd,Republican,West ,/,"108,579",45.0%
Georgia,GA,3rd,Republican,Ferguson* ,Incumbent,"213,461",68.8%
Georgia,GA,3rd,Democratic,Almonord ,/,"96,799",31.2%
Georgia,GA,4th,Democratic,Johnson* ,Incumbent,"216,247",78.5%
Georgia,GA,4th,Republican,Chavez ,/,"59,272",21.5%
Georgia,GA,5th,Democratic,Williams* ,Incumbent,"243,471",82.5%
Georgia,GA,5th,Republican,Zimm ,/,"51,754",17.5%
Georgia,GA,6th,Republican,McCormick ,/,"206,783",62.2%
Georgia,GA,6th,Democratic,Christian ,/,"125,552",37.8%
Georgia,GA,7th,Democratic,McBath* ,Incumbent,"142,852",61.0%
Georgia,GA,7th,Republican,Gonsalves ,/,"91,195",39.0%
Georgia,GA,8th,Republican,Scott* ,Incumbent,"178,601",68.6%
Georgia,GA,8th,Democratic,Butler ,/,"81,773",31.4%
Georgia,GA,9th,Republican,Clyde* ,Incumbent,"212,672",72.4%
Georgia,GA,9th,Democratic,Ford ,/,"81,206",27.6%
Georgia,GA,10th,Republican,Collins ,/,"198,413",64.5%
Georgia,GA,10th,Democratic,Johnson-Green ,/,"109,075",35.5%
Georgia,GA,11th,Republican,Loudermilk* ,Incumbent,"190,035",62.6%
Georgia,GA,11th,Democratic,Daza ,/,"113,535",37.4%
Georgia,GA,12th,Republican,Allen* ,Incumbent,"157,951",59.6%
Georgia,GA,12th,Democratic,Johnson ,/,"107,089",40.4%
Georgia,GA,13th,Democratic,Scott* ,Incumbent,"216,150",81.8%
Georgia,GA,13th,Republican,Gonzales ,/,"48,209",18.2%
Georgia,GA,14th,Republican,Greene* ,Incumbent,"170,003",65.9%
Georgia,GA,14th,Democratic,Flowers ,/,"88,074",34.1%
Hawaii,HI,1st,Democratic,Case* ,Incumbent,"142,742",73.7%
Hawaii,HI,1st,Republican,Kress ,/,"50,833",26.3%
Hawaii,HI,2nd,Democratic,Tokuda ,/,"127,995",62.3%
Hawaii,HI,2nd,Republican,Akana ,/,"72,455",35.2%
Hawaii,HI,2nd,Libertarian Party,Tippens ,/,"5,108",2.5%
Idaho,ID,1st,Republican,Fulcher* ,Incumbent,"222,891",71.3%
Idaho,ID,1st,Democratic,Peterson ,/,"82,261",26.3%
Idaho,ID,1st,Libertarian Party,Drake ,/,"7,274",2.3%
Idaho,ID,2nd,Republican,Simpson* ,Incumbent,"172,456",63.6%
Idaho,ID,2nd,Democratic,Norman ,/,"98,635",36.4%
Illinois,IL,1st,Democratic,Jackson ,/,"151,468",66.3%
Illinois,IL,1st,Republican,Carlson ,/,"77,146",33.7%
Illinois,IL,2nd,Democratic,Kelly* ,Incumbent,"137,854",66.8%
Illinois,IL,2nd,Republican,Lynch ,/,"68,369",33.2%
Illinois,IL,3rd,Democratic,Ramirez ,/,"111,799",67.0%
Illinois,IL,3rd,Republican,Burau ,/,"55,063",33.0%
Illinois,IL,4th,Democratic,Garcia* ,Incumbent,"87,987",68.0%
Illinois,IL,4th,Republican,Falakos ,/,"36,960",28.6%
Illinois,IL,4th,  ,Hershey ,/,"4,435",3.4%
Illinois,IL,5th,Democratic,Quigley* ,Incumbent,"172,040",67.9%
Illinois,IL,5th,Republican,Hanson ,/,"77,185",30.5%
Illinois,IL,5th,Ind.,Cruz ,/,"4,135",1.6%
Illinois,IL,6th,Democratic,Casten* ,Incumbent,"148,279",54.1%
Illinois,IL,6th,Republican,Pekau ,/,"125,625",45.9%
Illinois,IL,7th,Democratic,Davis* ,Incumbent,,Uncontested
Illinois,IL,8th,Democratic,Krishnamoorthi* ,Incumbent,"117,475",56.9%
Illinois,IL,8th,Republican,Dargis ,/,"89,151",43.1%
Illinois,IL,9th,Democratic,Schakowsky* ,Incumbent,"169,009",70.9%
Illinois,IL,9th,Republican,Rice ,/,"69,324",29.1%
Illinois,IL,10th,Democratic,Schneider* ,Incumbent,"144,489",62.3%
Illinois,IL,10th,Republican,Severino ,/,"87,528",37.7%
Illinois,IL,11th,Democratic,Foster* ,Incumbent,"145,303",56.1%
Illinois,IL,11th,Republican,Lauf ,/,"113,650",43.9%
Illinois,IL,12th,Republican,Bost* ,Incumbent,"213,438",75.4%
Illinois,IL,12th,Democratic,Markel ,/,"69,581",24.6%
Illinois,IL,13th,Democratic,Budzinski ,/,"136,123",55.9%
Illinois,IL,13th,Republican,Deering ,/,"107,357",44.1%
Illinois,IL,14th,Democratic,Underwood* ,Incumbent,"127,458",54.1%
Illinois,IL,14th,Republican,Gryder ,/,"108,045",45.9%
Illinois,IL,15th,Republican,Miller* ,Incumbent,"209,191",71.4%
Illinois,IL,15th,Democratic,Lange ,/,"83,765",28.6%
Illinois,IL,16th,Republican,LaHood* ,Incumbent,"196,009",66.6%
Illinois,IL,16th,Democratic,Haderlein ,/,"98,188",33.4%
Illinois,IL,17th,Democratic,Sorensen ,/,"119,601",51.8%
Illinois,IL,17th,Republican,King ,/,"111,457",48.2%
Indiana,IN,1st,Democratic,Mrvan* ,Incumbent,"112,539",52.8%
Indiana,IN,1st,Republican,Green ,/,"100,486",47.2%
Indiana,IN,2nd,Republican,Yakym ,/,"125,222",64.6%
Indiana,IN,2nd,Democratic,Steury ,/,"62,726",32.4%
Indiana,IN,2nd,Libertarian Party,Henry ,/,"5,782",3.0%
Indiana,IN,2nd,Republican,Yakym ,/,"118,650",63.5%
Indiana,IN,2nd,Democratic,Steury ,/,"62,547",33.5%
Indiana,IN,2nd,Libertarian Party,Henry ,/,"5,588",3.0%
Indiana,IN,3rd,Republican,Banks* ,Incumbent,"131,252",65.3%
Indiana,IN,3rd,Democratic,Snyder ,/,"60,312",30.0%
Indiana,IN,3rd,Ind.,Gotsch ,/,"9,354",4.7%
Indiana,IN,4th,Republican,Baird* ,Incumbent,"134,442",68.2%
Indiana,IN,4th,Democratic,Day ,/,"62,668",31.8%
Indiana,IN,5th,Republican,Spartz* ,Incumbent,"146,496",61.1%
Indiana,IN,5th,Democratic,Lake ,/,"93,373",38.9%
Indiana,IN,6th,Republican,Pence* ,Incumbent,"130,482",67.5%
Indiana,IN,6th,Democratic,Wirth ,/,"62,743",32.5%
Indiana,IN,7th,Democratic,Carson* ,Incumbent,"116,870",66.9%
Indiana,IN,7th,Republican,Grabovsky ,/,"53,487",30.6%
Indiana,IN,7th,Libertarian Party,Maple ,/,"4,227",2.4%
Indiana,IN,8th,Republican,Bucshon* ,Incumbent,"141,746",65.7%
Indiana,IN,8th,Democratic,McCormick ,/,"67,947",31.5%
Indiana,IN,8th,Libertarian Party,Horning ,/,"5,930",2.8%
Indiana,IN,9th,Republican,Houchin ,/,"138,765",62.9%
Indiana,IN,9th,Democratic,Fyfe ,/,"75,631",34.3%
Indiana,IN,9th,Libertarian Party,Millis ,/,"6,370",2.9%
Iowa,IA,1st,Republican,Miller-Meeks* ,Incumbent,"162,947",53.4%
Iowa,IA,1st,Democratic,Bohannan ,/,"142,223",46.6%
Iowa,IA,2nd,Republican,Hinson* ,Incumbent,"172,167",54.1%
Iowa,IA,2nd,Democratic,Mathis ,/,"145,930",45.9%
Iowa,IA,3rd,Republican,Nunn ,/,"156,261",50.3%
Iowa,IA,3rd,Democratic,Axne* ,Incumbent,"154,117",49.7%
Iowa,IA,4th,Republican,Feenstra* ,Incumbent,"186,467",67.4%
Iowa,IA,4th,Democratic,Melton ,/,"84,229",30.4%
Iowa,IA,4th,  ,Holder ,/,"6,035",2.2%
Kansas,KS,1st,Republican,Mann* ,Incumbent,"159,258",67.8%
Kansas,KS,1st,Democratic,Beard ,/,"75,726",32.2%
Kansas,KS,2nd,Republican,LaTurner* ,Incumbent,"132,765",57.6%
Kansas,KS,2nd,Democratic,Schmidt ,/,"97,580",42.4%
Kansas,KS,3rd,Democratic,Davids* ,Incumbent,"163,138",54.9%
Kansas,KS,3rd,Republican,Adkins ,/,"127,164",42.8%
Kansas,KS,3rd,Libertarian Party,Hohe ,/,"6,803",2.3%
Kansas,KS,4th,Republican,Estes* ,Incumbent,"142,863",63.5%
Kansas,KS,4th,Democratic,Hernandez ,/,"82,138",36.5%
Kentucky,KY,1st,Republican,Comer* ,Incumbent,"184,103",74.9%
Kentucky,KY,1st,Democratic,Ausbrooks ,/,"61,693",25.1%
Kentucky,KY,2nd,Republican,Guthrie* ,Incumbent,"170,486",71.9%
Kentucky,KY,2nd,Democratic,Linderman ,/,"66,767",28.1%
Kentucky,KY,3rd,Democratic,McGarvey ,/,"160,853",62.0%
Kentucky,KY,3rd,Republican,Ray ,/,"98,622",38.0%
Kentucky,KY,4th,Republican,Massie* ,Incumbent,"167,541",65.0%
Kentucky,KY,4th,Democratic,Lehman ,/,"79,977",31.0%
Kentucky,KY,4th,Ind.,Osborne ,/,"10,111",3.9%
Kentucky,KY,5th,Republican,Rogers* ,Incumbent,"177,714",82.2%
Kentucky,KY,5th,Democratic,Halbleib ,/,"38,549",17.8%
Kentucky,KY,6th,Republican,Barr* ,Incumbent,"154,760",65.1%
Kentucky,KY,6th,Democratic,Young ,/,"83,003",34.9%
